model,f1_macro,recall_macro,fit_median_s,predict_ms,size_kb,is_pareto
logistic,0.7874691154152912,0.7707721157219207,1.6224122000858188,38.13289990648627,7.994140625,True
svm_c1,0.7834571457689492,0.7630492174119394,375.41619529994205,11843.903100118041,7603.662109375,False
svm_c10,0.7859400002423185,0.7710986669693155,610.851444200147,13672.00389970094,7746.505859375,False
rf_100,0.769507177584696,0.7395771857782547,2.972568000201136,119.3397999741137,2070.5888671875,False
rf_300,0.7685818961398816,0.7373684509192959,8.219886700157076,261.6897001862526,6085.5888671875,False
boost,0.8121862713412569,0.7937549008481046,2.7527004997245967,116.86869990080595,363.994140625,True
