param_model__C,param_model__gamma,mean_test_score,std_test_score,mean_fit_time
0.1,scale,0.9377145618934251,0.018035401330066425,0.22735247611999512
0.1,0.01,0.9420777052286757,0.014346509073382314,0.07542662620544434
0.1,0.1,0.9341348980971171,0.015686790810568795,0.1509432315826416
1.0,scale,0.9669402274244406,0.015965597957213588,0.12894468307495116
1.0,0.01,0.9690407749147297,0.01628269880928693,0.20360021591186522
1.0,0.1,0.9533230330206756,0.012853369084693056,0.14530930519104004
10.0,scale,0.9670861669558555,0.013638400817014744,0.09649348258972168
10.0,0.01,0.9738878509919948,0.01767667524460028,0.1040165901184082
10.0,0.1,0.9375316134071167,0.023718217533153528,0.1694974422454834
